date,year,ticker,country,sector_2sic,ret_1m_pct,ret_3m_mean,ret_3m_vol,log_market_value,mktcap_growth_1m,dividend_yield,dividend_yield_lag1,esg_score_lag1,rf_usa,cpi_usa,fx_rate,esg_score
2015-12-31 00:00:00,2015,U:TFC,USA,60,-0.020974409,0.023152104,0.038251473,10.29205944,-0.020973548,2.86,2.8,46.59,0.0001,99.79242,1,46.59
2020-12-31 00:00:00,2020,BLKB,USA,73,0.044831927,0.015041876,0.119224407,7.956178926,0.044834329,0,0,57.15,0.0001,109.8968,1,57.15
2014-12-31 00:00:00,2014,U:IQV,USA,87,0.018134149,0.018452715,0.030913618,8.926205335,0.018159166,0,0,32.59,0,99.06969,1,32.59
2021-12-31 00:00:00,2021,U:CNMD,USA,38,0.079962106,0.032247348,0.117226927,8.329916177,0.078349368,0.56,0.61,47.63,0.0001,117.6295,1,47.63
2019-12-31 00:00:00,2019,U:EMN,USA,28,0.019858394,0.026812716,0.006032809,9.285336521,0.011459479,3.33,3.16,79.5,0.0014,108.4201,1,79.5
2021-12-31 00:00:00,2021,U:VPG,USA,38,0.081270026,0.022917708,0.052255129,6.148104982,0.081262856,0,0,36.71,0.0001,117.6295,1,36.71
2016-12-30 00:00:00,2016,J:MASU,Japan,62,0.144306114,0.071264249,0.064314754,12.47257985,0.144318194,3.28,3.75,36.33,0.0003,101.8627,116.0823,36.33
2016-12-30 00:00:00,2016,U:SPR,USA,37,0.003435229,0.096911897,0.0819868,8.86761905,0.001717425,0.69,0.69,45.72,0.0003,101.8627,1,45.72
2016-12-30 00:00:00,2016,D:LEO,Germany,33,0.136978818,0.02496563,0.144324435,7.012493601,0.136979849,2.94,3.35,54.94,0.0003,101.8627,0.9488513,54.94
2021-12-31 00:00:00,2021,CN:LXZ,China,20,-0.047309833,-0.024680115,0.039176673,10.48995974,-0.047283758,4.22,4.02,25.44,0.0001,117.6295,6.367165,25.44
2017-12-29 00:00:00,2017,STGW,USA,73,-0.159501791,-0.035112474,0.109281795,6.343845284,-0.159482377,0,0,29.16,0.0009,104.0111,1,29.16
2018-12-31 00:00:00,2018,K:SMIC,China,36,-0.047160069,-0.056422504,0.172563901,10.44937352,-0.047216711,0,0,55.15,0.002,105.9979,6.885528,55.15
2016-12-30 00:00:00,2016,I:FCBK,Italy,60,0.092263963,0.013844382,0.088897391,8.081558525,0.092212305,6.19,6.76,59.79,0.0003,101.8627,0.9488513,59.79
2023-12-29 00:00:00,2023,E:PSG,Spain,73,0.00193004,0.069696685,0.187701017,6.866151729,-0.027622909,3.76,3.65,66.35,0.0043,129.4194,0.9163172,66.35
2023-12-29 00:00:00,2023,DYN,USA,87,0.200388266,0.186263397,0.392515117,6.704904431,0.200358755,0,0,40.17,0.0043,129.4194,1,40.17
2021-12-31 00:00:00,2021,U:UTL,USA,49,0.109796891,0.029084684,0.071062176,6.599326133,0.109801789,3.31,3.67,40.84,0.0001,117.6295,1,40.84
2019-12-31 00:00:00,2019,B:KB,Belgium,60,0.013909158,0.04389735,0.026309927,10.23722068,0.014491432,3.65,3.7,66.91,0.0014,108.4201,0.89996,66.91
2018-12-31 00:00:00,2018,SCTL,USA,28,0.080596261,0.002092298,0.086977136,5.02709902,0.080646304,0,0,13.61,0.002,105.9979,1,13.61
2017-12-29 00:00:00,2017,TXRH,USA,58,0.035795596,0.024896525,0.00959992,8.228409179,0.031525118,1.59,1.64,42.91,0.0009,104.0111,1,47.54
